#Node	k	network_signs	integer_encoded_BF	model_PMID
il1a	1	a	1	21968890
il1b	1	a	1	21968890
irak4	2	ai	2	21968890
myd88	1	a	1	21968890
tdum_il1r2_il1rc	1	a	1	21968890
erk12	2	ai	2	21968890
jnk	2	ai	2	21968890
il1b_new	2	aa	1	21968890
pro_il1b	4	aaaa	1	21968890
nalp_infl	1	i	2	21968890
il6	6	aaaiai	32	21968890
cebpb	2	aa	7	21968890
gsk3	1	i	2	21968890
ttp	1	i	2	21968890
dum_cebp_il1ra	2	aa	7	21968890
dum_sap1_or_elk_cfos	2	aa	7	21968890
sap1	3	aaa	127	21968890
elk1	3	aaa	127	21968890
tdum_irak1c_irak12	1	a	1	21968890
irak1c	2	aa	1	21968890
mek1	1	a	1	21968890
mkp1	1	a	1	21968890
il1r1	2	ai	2	21968890
cox2	4	aaaa	32767	21968890
cjun	2	aa	7	21968890
dum_cebp_cox2	2	aa	7	21968890
traf6	1	a	1	21968890
irak1	5	iaiaa	1048576	21968890
dum_cebp_pro_il1b	2	aa	7	21968890
cebpd	3	aaa	1	21968890
hnf4a	2	aa	1	21968890
ros	2	ii	8	21968890
sil1r_ap	1	a	1	21968890
tdum_mkp1_p38_jnk_erk12	1	a	1	21968890
tdum_cyt_p38_tak1_tab	1	a	1	21968890
irs1_ps	3	aaa	127	21968890
dum_mek4_or_7_jnk	2	aa	7	21968890
lbp	2	aa	1	21968890
dum_tak1_tab_or_mekk3_ikkb_a	3	aaa	55	21968890
dum_ikkab_or_ikkbb_nemo_ikkb_a	2	aa	7	21968890
cjun_gene	1	a	1	21968890
msk1	2	aa	7	21968890
dum_ikkab_nemo_akt_or_ck2_p65	3	aaa	55	21968890
ikkab_nemo	3	aaa	1	21968890
tdum_il1ra_ilr12	1	a	1	21968890
ccl2	4	aaaa	1	21968890
pi3k	2	aa	7	21968890
tdum_a20_traf6_ub	1	a	1	21968890
mek7	2	aa	7	21968890
inos	2	aa	7	21968890
irak2	4	iaaa	256	21968890
cfos	2	aa	1	21968890
tdum_hsp27_ps_traf6_ub	1	a	1	21968890
ikba_degr	4	aaaa	14335	21968890
il8	5	aaiai	32	21968890
Pax5_gene	3	aaa	84	28584084
Ebf1	1	a	1	28584084
Cebpa	2	aa	7	28584084
Cebpb	3	aaa	21	28584084
Mac1_gene	1	a	1	28584084
Spi1	9	aaaaaaaaa	893853861996175755091903525371208748255148705905871586544369153949044630645714386844472105274685874285537182850276378007269433730224976593275941280615967	28584084
Csf1r_activated	2	aa	1	28584084
Csf1r	2	aa	4	28584084
E2A_protein_active	2	aa	2	28584084
E2A	1	a	1	28584084
Id2	5	aaaaa	64	28584084
Spi1_2	8	aaaaaaaa	7717705310436796486164116918171584112185388310028889028038624141563227345169	28584084
Runx1	1	a	1	28584084
Gfi1	4	aaaa	30197	28584084
Foxo1	2	ia	5	28584084
Ikzf1	2	aa	7	28584084
Ebf1_gene	10	aaaaaaaaaa	486861366614074346484916862168516542303969165765248484399910417198020669810274014524538113145114539536483574028016559671305527593102643482042844201067023347231876842953986476657550491977677414007859536042468740506926192527551501823481581544441416515584	28584084
Ets1	1	a	1	28584084
Pax5_protein_active	2	aa	4	28584084
IL7r_activated	2	aa	1	28584084
Pax5	1	a	1	28584084
Mef2c	3	aaa	84	28584084
Egr1	4	aaaa	32607	28584084
IL7r	6	aaaaaa	1233723648051707904	28584084
CD19_gene	2	aa	4	28584084
Mac1	1	a	1	28584084
Cebpa_gene	3	aaa	16	28584084
Cd19	1	a	1	28584084
Foxo1_gene	3	aaa	84	28584084
E2A_gene	4	aaaa	1287	28584084
Flt3	3	aaa	4	28584084
ATR	4	aiaa	28912	22267503
ssDNARPA	6	aaaiai	538976416	22267503
CHKREC	7	iiiaiaa	329643350694937593913904043882583097344	22267503
FANCM	2	ia	4	22267503
ATM	3	aia	76	22267503
KU	4	iaii	2048	22267503
DSB	5	aaiia	1086374080	22267503
MRN	6	aiaaii	11010048	22267503
FANCD2I	6	aaaaai	573988187802122	22267503
NHEJ	9	iaiaaiaaa	17734138034088512522664846322546523351109947206685361269127464277808903043561439011102532866236909348218848468618227318297111821489757224960	22267503
DNAPK	3	iaa	16	22267503
XPF	6	iaaiaa	3544668469065756976	22267503
FANCJBRCA1	4	aaaa	1911	22267503
PCNATLS	4	aaii	136	22267503
ADD	5	aaaia	67947724	22267503
USP1	4	aaia	17484	22267503
FAN1	2	aa	1	22267503
FAcore	4	aaia	1092	22267503
RAD51	3	iaa	16	22267503
FANCD1N	4	aiaa	4181	22267503
ICL	2	ia	4	22267503
CHK1	4	aaia	19660	22267503
H2AX	5	aaiaa	273698896	22267503
MUS81	1	a	1	22267503
HRR	5	aiaaa	256	22267503
BRCA1	5	aaaia	71582788	22267503
CHK2	4	aaia	19660	22267503
p53	6	aaaaia	4919132337239510220	22267503
IL2R	1	a	1	26408858
HEB	1	a	1	26408858
Notch1	1	a	1	26408858
Gfi1	1	a	1	26408858
Ikaros	1	a	1	26408858
ThPOK	9	aaaaaaaaa	6676080144804181343891900386679888470926058682948071544767371025025535253306848773285573837900088836764645666002991598462687996223594748037244241517215743	26408858
Tbet	5	aaaaa	1879048192	26408858
Runx3	4	aaaa	2819	26408858
RORgt	6	aaaaaa	264308314601620227	26408858
GATA3	8	aaaaaaaa	34375776492328245521374701619840483877621171394230651624545534747156487864320	26408858
Foxp3	7	aaaaaaa	11339976339040063550548717369007538176	26408858
CD4	5	aaaaa	1275120640	26408858
CD8	6	aaaaaa	614741351426686976	26408858
IL17	1	a	1	26408858
TCF1	1	a	1	26408858
CD19	1	a	1	26408858
Pax5	6	aaaaaa	176059299397632	26408858
Gzmb	1	a	1	26408858
EOMES	3	aaa	19	26408858
IRAK	1	a	1	26408858
IL18R	2	aa	2	26408858
IL6	1	a	1	26408858
ERK	2	aa	7	26408858
Flt3	3	aaa	42	26408858
Ebf1	2	aa	2	26408858
Runx1	5	aaaaa	8388608	26408858
PU1	3	iia	85	26408858
Irf4	4	aaaa	1036	26408858
Bcl6	4	aaaa	512	26408858
IL21R	1	a	1	26408858
Blimp1	4	aaaa	8192	26408858
IL27R	1	a	1	26408858
FR4	2	aa	1	26408858
STAT6	1	a	1	26408858
IFNg	5	aaaaa	1894838512	26408858
STAT3	4	aaaa	32767	26408858
STAT4	2	aa	4	26408858
JAK1	1	a	1	26408858
IFNgR	1	a	1	26408858
JAK3	3	aaa	42	26408858
IL7R	2	aa	2	26408858
IL6R	1	a	1	26408858
IFNbR	1	a	1	26408858
IL4R	2	aa	2	26408858
IL4	2	aa	2	26408858
SOCS1	2	aa	7	26408858
Helios	1	a	1	26408858
NFkB	1	a	1	26408858
STAT5	3	aaa	42	26408858
Bach2	2	aa	7	26408858
TGFb	1	a	1	26408858
SMAD3	2	aa	4	26408858
SMAD2	1	a	1	26408858
IL12R	2	aa	2	26408858
TGFbR	1	a	1	26408858
TNFa	1	a	1	26408858
XBP1	1	a	1	26408858
IL10R	1	a	1	26408858
IL10	1	a	1	26408858
Bcl11b	2	aa	1	26408858
NFAT	1	a	1	26408858
Prf1	1	a	1	26408858
Bcl2	2	aa	7	26408858
STAT1	3	aaa	127	26408858
TNFR2	1	a	1	26408858
IL23R	1	a	1	26408858
AKT	1	a	1	26408858
p53	4	aaia	19660	26385365
ATR	3	aia	76	26385365
CHKREC	8	iiiaaiaa	112173586421690117652376143369500400616712297704542022532758497542419171508224	26385365
NHEJ	5	iaiia	4194304	26385365
ATM	4	aiai	8352	26385365
ICL	2	ia	4	26385365
DSB	5	iiiaa	1879048192	26385365
NUC2	7	aaiaaaa	1334440579713534223399502545178005248	26385365
FAHRR	4	aaai	770	26385365
HRR2	7	iaiaaaa	4974729747714199053915914240	26385365
NUC1	2	aa	1	26385365
FANCD2I	5	aaiaa	5263440	26385365
TLS	3	aia	12	26385365
ADD	3	aai	42	26385365
FAcore	4	aaia	1092	26385365
Ara+	3	aaa	21	28639170
Am	3	aaa	31	28639170
A	2	aa	1	28639170
E	1	a	1	28639170
MS	3	aai	3	28639170
T	1	a	1	28639170
C	1	i	2	28639170
MT	2	aa	1	28639170
L	2	ia	4	28639170
Drk	2	aa	1	23868318
Stumps	2	aa	7	23868318
Htl	2	aa	7	23868318
Btl	1	a	1	23868318
Aop	1	i	2	23868318
Rl	2	aa	1	23868318
Gap	1	a	1	23868318
PLCg	1	a	1	23868318
Pnt	1	a	1	23868318
Raf	4	aaaa	1	23868318
Ras	3	aaa	51	23868318
Dsor1	1	a	1	23868318
Sos	1	a	1	23868318
Targets	2	ia	4	23868318
ErbB2_3	2	aa	1	19118495
ErbB2	1	a	1	19118495
ErbB3	1	a	1	19118495
CDK6	1	a	1	19118495
CycD1	4	aaaa	259	19118495
Akt1	5	aaaaa	2147483647	19118495
ErbB1_2	2	aa	1	19118495
ErbB1_3	2	aa	1	19118495
IGF1R	3	aai	42	19118495
ErbB1	1	a	1	19118495
ERa	2	aa	7	19118495
MEK1	5	aaaaa	2147483647	19118495
CDK2	3	aii	8	19118495
CycE1	1	a	1	19118495
p21	4	iiia	16384	19118495
p27	5	iiiia	1073741824	19118495
cMYC	3	aaa	127	19118495
pRB	3	aaa	17	19118495
CDK4	3	aii	8	19118495
SMBF	4	iaaa	32512	19185585
Cln3	1	i	2	19185585
Clb2	6	aiiiaa	1157442700462583808	19185585
Cln2	1	a	1	19185585
Yhp1	1	a	1	19185585
Cdh1	4	aiii	33023	19185585
Cdc14	2	aa	1	19185585
Clb5	3	iia	80	19185585
CD	4	iaaa	256	19185585
M	4	iaaa	14080	19185585
FEAR	1	a	1	19185585
Cdc20	3	aaa	1	19185585
CKI	6	aaiiia	4611897126091609429	19185585
Swi5	3	aia	69	19185585
B	4	aiaa	28912	19185585
SFF	6	aiiiaa	1229782942020137233	19185585
S	4	iaaa	32512	19185585
MEN	2	aa	1	19185585
DHH	1	a	1	26573569
SOX9	10	aiaiaaaaai	24342303927318518904898230102525626867769999064201757341787599970728347892801006080341653219743177438725732920914622339467913151896851147837014968695748821400079046811331088755048663421394530512476782511909084738013517845434600112070632813969240795030492761606021359476951243014859753690836466939416048304128	26573569
DKK1	2	aa	7	26573569
SRY	8	aiaaaaaa	7235349132933696806802753521082910275923194470317757464747470126111711559680	26573569
GATA4	4	aaaa	32767	26573569
UGR	3	iai	32	26573569
NR5A1	6	aaiaaa	6867144787763199948	26573569
WNT4	6	aiiaaa	9151314447095037952	26573569
WT1mKTS	2	aa	7	26573569
NR0B1	5	aiaaa	1431336816	26573569
CTNNB1	5	aaiia	1154236608	26573569
PGD2	1	a	1	26573569
FOXL2	4	aiia	64	26573569
FGF9	2	ai	2	26573569
CBX2	4	aiaa	13106	26573569
WT1pKTS	4	aaai	16170	26573569
RSPO1	3	aia	76	26573569
AMH	6	aaiaaa	3311419785984	26573569
DMRT1	3	iaa	112	26573569
SO_3	2	aa	1	27542373
HATPase_3	8	iaaaaaaa	2298702998362069446380729737451343581987627467146702035622237938805786017792	27542373
Kv	1	a	1	27542373
Cac_high	4	aiaa	112	27542373
CaIc	2	aa	7	27542373
CaATPase	1	a	1	27542373
CaR	2	aa	7	27542373
PMV_pos	8	aaaaaaia	34382871595835434013649416305517645103450196811170086757693496646300988621892	27542373
HATPase_1	7	iaaaaaa	109065250908829941993168864278478848	27542373
HATPase_2	8	iaaaaaaa	113080045843856965306472083306590066147126153291197210422036438178619981824	27542373
KEV	2	aa	1	27542373
PMV_neg	8	aaaaaiaa	22028522613943471670925341376976724709288013379414276386818799304382884085760	27542373
AnionCh	7	aaiaaaa	228622104081685924639734175310522548995	27542373
Kc	9	aiaaaaaia	9827414390837963117801099761208972444664817522074501316861318844889646830954685730536922996137834648881565274429647862663383430825270642448353987660	27542373
Kin	6	aiaaaa	6147432253209204048	27542373
Kout	7	aaaaiai	68051281008099786424962438767305765683	27542373
AnionCh_high	5	aiaaa	521273105	27542373
PLD_high	2	aa	1	27542373
NO	2	aa	1	27542373
phph_high	2	aa	1	27542373
PLA2	3	aaa	127	27542373
PK_1	5	aaaaa	503710208	27542373
PK_2	5	aaaaa	3810135040	27542373
FFA	1	a	1	27542373
phph	2	aa	7	27542373
PK_3	5	aaaaa	33817600	27542373
PLC	3	aaa	55	27542373
Cac	4	aiaa	28927	27542373
ABI1	1	i	2	27542373
ROS	3	iaa	16	27542373
MCPS_high	4	aaaa	21	27542373
Ci	4	iaai	2819	27542373
Ci_sup	4	aaaa	1807	27542373
PP1cc_3	4	aaaa	53794	27542373
phot1_complex	1	a	1	27542373
PLD	2	aa	7	27542373
carbfix	3	aaa	21	27542373
SO_1	2	aa	1	27542373
carbfix_high	3	aaa	21	27542373
PP1cc_1	2	aa	7	27542373
PP1cc_2	4	aaai	43144	27542373
MCPS	4	aaaa	5439	27542373
SO_2	3	aaa	71	27542373
sucrose	2	ia	4	27542373
